case,legacy_case,n_mech,n_overall,n_sections,n_merged,n_loading,strain_start,strain_max,stress_start,stress_max_loading,M2y_start,m_y_end_loading,H_M2_start,H_M2_end
Ref,single,200.0,101.0,101.0,100.0,100.0,0.00015098,0.01995098,0.030818142,2.059577022,0.01718841,0.011245071533667163,0.07503538374953996,0.055064787477149574
90DW,twin,200.0,101.0,101.0,100.0,100.0,0.00015098,0.01995098,0.057529074,1.75301314,0.019717000000000002,0.008012782674849114,0.014130011875681869,0.02647131449319649
