dataset,protocol_note,Ptarget_bar,Nload,epsY,has_volume_output,has_energy_exchange_output,dPE_min,e_min_dPE,e_zero_dPE,dETOT_min,e_min_dETOT,e_zero_dETOT,A_dPE_down_end,A_dPE_up_end,A_dETOT_down_end,A_dETOT_up_end,W_mech_proxy_end,N_events,N_release,N_storage,median_Delta_PE_release,median_Delta_PE_storage,rho_Wsigma_signedDeltaPE,rho_Wsigma_releaseMag,rho_chi_releaseMag,rho_O_releaseMag
Single,x/z npt + y deform protocol; mechanical work is only available as proxy from stress-strain unless volume/work channels are exported,0.0,1000000.0,-0.02,True,False,-3.9064061419921927,0.00375098,0.010895331376698512,-3.855862561002141,0.00375098,0.010540940084131645,2.767421659134703,16.35421187860479,2.755869039441445,16.350436637854717,0.016903145631883842,13,2,11,-1.5841687291042361,1.6126056452239315,0.3681318681318681,,,
Twin,x/z npt + y deform protocol; mechanical work is only available as proxy from stress-strain unless volume/work channels are exported,0.0,1000000.0,-0.02,True,False,-3.8543669839855283,0.00475098,0.011301956531741797,-4.1154245469952,0.00355098,0.011646009223199968,3.0697847542039414,13.151558944706487,3.1357306720925195,13.203135224960018,0.011772498968716882,13,3,8,-1.4101247050427792,0.7840454335205186,0.6923076923076923,1.0,-1.0,-0.5
