dataset,onset_sigma,onset_P_parallel,max_chi_parallel,min_chi_parallel
Single,0.00445098,0.0087509799999999,0.9999999999880095,0.04070175438239458
Twin,0.00195098,0.00295098,0.9999999999928572,0.03511811023345527
