TimeStep PE_total KE_total ETOT
# Fix print output for fix energy_init
0 -231098.589417314 7.8587111272155 -231090.730706187
# Fix print output for fix energy_out
0 -231098.589417314 7.8587111272155 -231090.730706187
1000 -231098.696053496 7.90754012200644 -231090.788513374
2000 -231098.386220896 7.91331702659622 -231090.472903869
3000 -231098.60927312 7.93125303699491 -231090.678020083
4000 -231098.68710707 7.94084138614885 -231090.746265684
5000 -231098.370518465 7.97550553626949 -231090.395012929
6000 -231098.932334992 7.94794200867896 -231090.984392983
7000 -231099.04087843 7.90750708083195 -231091.133371349
8000 -231098.572669522 7.926661906683 -231090.646007615
9000 -231099.099573973 7.90649210680416 -231091.193081866
10000 -231099.049381579 7.95922366744334 -231091.090157912
11000 -231098.752980349 7.92295893163897 -231090.830021417
12000 -231098.662321231 8.0108589824777 -231090.651462249
13000 -231098.756659827 7.8784350868721 -231090.87822474
14000 -231099.015706419 7.90957097323073 -231091.106135446
15000 -231098.879970101 7.98969832653922 -231090.890271774
16000 -231099.046649899 7.95140927512182 -231091.095240624
17000 -231099.28072158 8.07729463689224 -231091.203426943
18000 -231098.97584994 8.01657034680827 -231090.959279593
19000 -231099.0191994 7.90816959025442 -231091.11102981
20000 -231099.095030634 8.02129682146629 -231091.073733813
21000 -231098.795462869 7.84914804392137 -231090.946314825
22000 -231099.328426297 7.85580242798945 -231091.472623869
23000 -231099.431226001 7.99468674392709 -231091.436539257
24000 -231099.338742446 7.99754881199728 -231091.341193634
25000 -231099.343142721 7.90012051622258 -231091.443022205
26000 -231099.482246922 8.00513807455805 -231091.477108847
27000 -231099.231361188 7.90489930259825 -231091.326461885
28000 -231099.264830237 7.99092026747891 -231091.27390997
29000 -231099.349777784 7.95661733758379 -231091.393160446
30000 -231099.416890007 7.90485251692226 -231091.51203749
31000 -231099.508284535 7.99759799620024 -231091.510686539
32000 -231099.684112836 7.94928987791194 -231091.734822958
33000 -231099.620810405 7.95817096285732 -231091.662639442
34000 -231099.644611612 7.95000364994622 -231091.694607962
35000 -231099.260635318 7.89643474532282 -231091.364200573
36000 -231099.483761452 7.94033182373276 -231091.543429628
37000 -231099.441726867 7.9494557219209 -231091.492271145
38000 -231099.411777797 7.88301186311017 -231091.528765934
39000 -231099.953226639 8.05722070386876 -231091.896005935
40000 -231100.194008556 8.01053800061567 -231092.183470555
41000 -231099.902544803 7.89934797563305 -231092.003196827
