TimeStep simtime s1 s2 s3 p1 p2 p3 p1_abs p2_abs p3_abs p1_vir p2_vir p3_vir Px Py Pz
0 0.0 0.0 0.0 0.0 -6.02938143856591e-14 -2.28294538828777e-13 3.68913788406644e-14 -0.0169156277237318 -0.0288217557331112 -0.0137864128990802 -0.0116042936287732 -0.0230097555733488 -0.00861311745645912 1.22710346651529 29.9268878580328 0.0174064850543818
# Fix print output for fix pout0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5000 0.1275 0.000417973546355236 -5.09799999998334e-05 -0.000226083430772686 0.0170422431839534 0.0153851562961448 0.0136648287489953 0.000126615460281885 -0.0134365994367381 -0.000121584150121782 0.00549584679394382 -0.00774910502440811 0.00526830114906448 0.925405438601692 29.8704809203873 -0.00666655382270996
10000 0.3775 0.000135367622595189 -0.000150979999999822 0.000166129277971659 0.0169187845278626 0.0183540540725424 0.0142811260799864 3.15680419110086e-06 -0.0104677016603405 0.000494713180869264 0.00520875865558348 -0.00477247723182858 0.00602281158694832 1.10167938788845 29.7993353495431 0.00646767504326066
15000 0.6275 0.000548730435104422 -0.000250979999999929 -0.000132246498017425 0.0166166255210831 0.0290208330892414 0.0136520780414343 -0.000299002202588412 0.000199077356358465 -0.000134334857682801 0.00479058749197592 0.00578963692355162 0.00523608731859705 0.834763798624568 29.7133354098465 0.0353654167471111
20000 0.8775 0.000722844963312861 -0.000350979999999793 -0.000221539348516956 0.0173504706252 0.0252333449542388 0.0144489342796625 0.000434842901528501 -0.00358841077864407 0.00066252138054542 0.00574533530730434 0.00213349125697741 0.00569466742385251 0.721990916786004 29.6696631624319 0.0254838756199943
25000 1.1275 0.000718321024361602 -0.000450979999999847 -0.000151421049007017 0.0159464473282267 0.0186800307905011 0.0125992397086667 -0.000969180395444821 -0.0101417249423818 -0.00118717319045043 0.00440526528376106 -0.00427908259049208 0.00406583520368911 0.729954041670284 29.6241535366689 -0.0293711234147096
30000 1.3775 0.000932471302783864 -0.000550979999999938 -0.000288116658051594 0.0178737606751831 0.014175757980981 0.0139928079694686 0.000958132951511619 -0.0146459977519019 0.000206395070351477 0.00631041324797887 -0.00904852522455281 0.00579293527414468 0.606836804855146 29.5797011440031 -0.042542337073405
35000 1.6275 0.000841686122595827 -0.000650979999999765 -0.000106044115264728 0.0166293502011224 -0.000522773851027139 0.0145394713959855 -0.000286277522549111 -0.02934452958391 0.000753058496868361 0.00490932787786015 -0.0238676832121737 0.00620383515727718 0.663275272349041 29.5745762356034 -0.00328010188432692
40000 1.8775 0.00083822292839858 -0.000750979999999872 -5.72529984589562e-05 0.0164238608019185 -0.018453343524021 0.0128580750220083 -0.000491766921753009 -0.0472750992569038 -0.000928337877108767 0.00472870744075273 -0.0414554189106359 0.00420453237147127 0.700216762120962 29.5599043673972 -0.00454482241455511
45000 2.1275 0.00103787485226308 -0.000850979999999897 -0.000132423963270791 0.0178345286053335 -0.0158626165133249 0.0142125030005947 0.00091890088166196 -0.0446843722462078 0.000426090101477614 0.00630286262140074 -0.0390297699694837 0.00569922985771152 0.580042648075875 29.5024345598577 0.0167832925441599
50000 2.3775 0.000995757409721383 -0.000950979999999791 1.45715388456902e-05 0.0162653104371499 -0.0130917516976592 0.0136416986509756 -0.000650317286521602 -0.0419135074305421 -0.000144714248141501 0.004776610775454 -0.0361769992843831 0.00531492262954716 0.578297404991093 29.4418999903716 0.0325832994665856
55000 2.6275 0.000903394551752008 -0.0010509799999999 0.000193589807803941 0.0163199000559907 -0.0165627906873304 0.0137425065669833 -0.000595727667680749 -0.0453845464202133 -4.39063321338206e-05 0.00456126349343693 -0.0396957923459543 0.00535030524673566 0.662650873710553 29.3814746613031 -0.00747404936749674
60000 2.8775 0.0014951935652137 -0.00115097999999986 -0.000272422873705961 0.0182661321210194 -0.00114536163300248 0.0141629646667439 0.00135050439734791 -0.0299671173658854 0.000376551767626758 0.00653989183446929 -0.0244188616042267 0.00553320102684018 0.280081088346326 29.292633841305 -0.030054337511672
65000 3.1275 0.00132312034411032 -0.00125097999999982 -4.63649499196844e-05 0.0149868519836781 -0.0149843628330897 0.013428877321656 -0.00192877573999335 -0.0438061185659726 -0.000357535577461064 0.00344879029065285 -0.0381966319089037 0.00497606653065981 0.381018072281865 29.2672398387257 -0.020383614599327
70000 3.3775 0.00151150639472206 -0.00135097999999992 -0.000143672217025887 0.0191906770792973 -0.0171977333417003 0.0136181264347837 0.00227504935562581 -0.0460194890745832 -0.000168286464333442 0.00756183971715672 -0.04016760158049 0.00534345320718911 0.291373078123342 29.2107562500984 0.000704176989775025
75000 3.6275 0.00156764883372973 -0.00145097999999981 -0.000142846038673994 0.0148050956177828 -0.030364023490039 0.0151399846243674 -0.0021105321058887 -0.0591857792229219 0.00135357172525031 0.00308480436935474 -0.0534361873017389 0.00663776182467112 0.248041776068704 29.1971018730818 0.0228442242774861
80000 3.8775 0.00182721502295433 -0.00155097999999984 -0.000317142038720468 0.0187704079914364 -0.0452026809618064 0.0115348388309728 0.00185478026776493 -0.0740244366946893 -0.00225157406814434 0.00712482188854968 -0.0684329685642169 0.00295141978321188 0.120923797705947 29.188601047869 0.0141542894092672
85000 4.1275 0.00125110049888195 -0.00165097999999995 0.000351073680129729 0.0152181601276862 -0.0510805124908086 0.0157027213168302 -0.00169746759598527 -0.0799022682236915 0.00191630841771307 0.00374453485395589 -0.0742621501435242 0.00724043793583834 0.48713722953739 29.1356090049395 -0.0104902507839281
90000 4.3775 0.00206104460964225 -0.00175097999999977 -0.000323845279223335 0.0183583466567755 -0.0413318625601853 0.0124175779920137 0.00144271893310398 -0.0701536182930682 -0.00136883490710343 0.00678034515611878 -0.0645210761531139 0.00410750318754011 -0.0244889090856006 29.0685672294555 -0.0102105208687758
95000 4.6275 0.00143049315606849 -0.00185097999999987 0.000356250638933829 0.0160387175995333 -0.0539964107112174 0.0143028330926609 -0.000876910124138224 -0.0828181664441003 0.000516420193543848 0.00426179673718921 -0.0770230142916026 0.00598982739165559 0.367270575790793 29.033922028183 -0.0237534340676543
100000 4.8775 0.00189205043664086 -0.00195097999999992 5.09250747663977e-05 0.0172276483443372 -0.0383463964236797 0.0136643307273683 0.000312020620665682 -0.0671681521565626 -0.000122082171748764 0.00548691097505965 -0.0615091518657122 0.0049134161826974 0.0886160242097577 28.9314373477463 -0.00139337207933194
105000 5.1275 0.00204868907721681 -0.00205097999999978 -5.48559414019095e-05 0.0159790043881882 -0.0438422207814996 0.0143681643338075 -0.000936623335483284 -0.0726639765143825 0.00058175143469043 0.00444404414781922 -0.0670040548351231 0.00579848543490243 -0.020300154457564 28.8908309053718 0.0473835986815503
110000 5.3775 0.00227857352232199 -0.00215097999999989 -0.000171737621945228 0.0183765401603977 -0.0442495458513616 0.0129233873962207 0.00146091243672622 -0.0730713015842445 -0.000863025502896381 0.0068539853589204 -0.0675273793849504 0.00467916897766537 -0.144138242910135 28.8354246124768 0.0190020357573896
115000 5.6275 0.00210195418240208 -0.00225097999999987 3.12698918793612e-05 0.0154378773122406 -0.0629478906579219 0.0149515421542672 -0.00147775041143093 -0.0917696463908048 0.00116512925515006 0.00381844033208847 -0.0861596825153041 0.00668312906788202 -0.0204184144533183 28.8201494270323 -0.0121366631838281
120000 5.8775 0.00252379532393758 -0.00235097999999981 -0.000297317310403446 0.01766155355613 -0.0728481709005007 0.0123097158962758 0.000745925832458466 -0.101669926633384 -0.00147669700284135 0.00585481175305267 -0.0957943841107921 0.00352641998581067 -0.266371361214434 28.8105004057051 -0.00227243142274672
