TimeStep simtime s1 s2 s3 p1 p2 p3 p1_abs p2_abs p3_abs p1_vir p2_vir p3_vir Px Py Pz
0 0.0 0.0 0.0 0.0 -2.12432382795669e-13 5.35294475412229e-14 3.38047811965225e-14 -0.0235906282242816 0.0163475216882423 -0.01885509083199 -0.0181488595407525 0.0218076978659577 -0.0132928904854196 -17.3378798720627 -10.6468573834784 -13.6500331625396
# Fix print output for fix pout0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5000 0.1275 0.000165295657193447 -5.09800000002172e-05 0.000106553963953705 0.0237399946589475 0.0231283295718449 0.0194825426378682 0.000149366434878263 0.0394758512600337 0.000627451805844368 0.00562937490896556 0.0449075670184298 0.00617242964901561 -17.3442083055233 -10.6382410258252 -13.6358933736512
10000 0.3775 0.000212073466402957 -0.000150980000000225 0.000157348264315055 0.0236422549511595 0.0169976596517706 0.018412142607687 5.16267270903094e-05 0.0333451813399594 -0.000442948224336799 0.00556695085139641 0.038858436272706 0.0050063978439946 -17.3522376391608 -10.6547945633852 -13.6501772605866
15000 0.6275 0.000191420722066438 -0.00025098000000022 0.000247479833256625 0.0243856581338017 0.0129572609166037 0.019028619244801 0.00079502990973249 0.0293047826047925 0.000173528412777248 0.00626429037412454 0.0348147914981477 0.00564359294459711 -17.3456241669204 -10.6666707976899 -13.639866228323
20000 0.8775 0.000246325670941501 -0.000350980000000222 0.000330641454937267 0.0220801499271523 0.010187427922397 0.0187674460323235 -0.00151047829691694 0.0265349496105858 -8.76447997003405e-05 0.00400841948771242 0.0320193707726909 0.0053691652914785 -17.3479884795758 -10.6529925055097 -13.6566085839681
25000 1.1275 0.000356160830891828 -0.00045098000000022 0.000247239576370107 0.0248172421555939 -0.005755362275096 0.0185897518018868 0.00122661393152469 0.0105921594130928 -0.000265339030137004 0.00669280047001999 0.016111023022857 0.00525388810952135 -17.3728409058789 -10.6433807191358 -13.6445950336518
30000 1.3775 0.000296996365028584 -0.000550980000000222 0.000380128272131701 0.0225429747835709 -0.00362553362093042 0.0196242157164363 -0.00104765344049833 0.0127219880672584 0.000769124884412545 0.00443028030961039 0.0182125613857757 0.00625584946809447 -17.3649460338786 -10.6640056741376 -13.6436770014039
35000 1.6275 0.0004899407571806 -0.000650980000000223 0.000343624112607109 0.0244952723461132 -0.00696406937695753 0.0178741405377151 0.000904644122043993 0.00938345231123128 -0.000980950294308677 0.00637966239769482 0.0149044959860454 0.00448117212783597 -17.3822410733368 -10.667030467385 -13.6595349465809
