dataset,onset_sigma,W_tot_end,W_serr_end,phi_serr_end,N_events,median_W_sigma,median_onset_stress,max_W_sigma,s10,s50,s90,B_s
Single,0.00445098,0.016903145631883842,0.00010667247277366521,0.006310805994148952,13,3.418423175500783e-06,0.9426376007230114,1.9103620569974294e-05,0.17029009367511222,0.9426376007230114,1.3964657413627006,1.2261756476875885
Twin,0.00195098,0.011772498968716882,0.0003323023637043314,0.028227002999733537,13,8.076244943362195e-06,0.3539007256103891,3.0578549566506856e-05,0.07810723537662326,0.3539007256103891,0.6153631312294363,0.5372558958528131
