dataset,pol_col_used,max_E_tan,min_E_tan,max_S_rms,max_abs_dPde
Single,Py_mean,199.35296602738296,55.1970935421748,0.02374772360101082,17.57972676673956
Twin,Py_mean,192.978362025789,18.916791549460243,0.04464286990247498,21.602997132737414
