Time,Px_mean,Py_mean,Pz_mean,Px_min,Px_max,Px_std,Px_var,Py_min,Py_max,Py_std,Py_var,Pz_min,Pz_max,Pz_std,Pz_var,absPx_mean,absPy_mean,absPz_mean,absP_mean,qdiff_absmax,strain,stress_raw,stress_sm,stress_trend,delta_sigma_serr,delta_sigma_serr_sm,S_rms,A_sigma,A_sigma_norm,onset_sigma,W_tot,W_serr,phi_serr,align_method,P_parallel,O_parallel,Pmag_mean,Pvec_norm,chi_parallel,chi_vec,eta_perp,P_parallel_sm,O_parallel_sm,chi_parallel_sm,chi_vec_sm,eta_perp_sm,P_parallel_abs_sm,O_parallel_rel,chi_parallel_rel,dataset
190000.0,-0.0453,0.0197,-0.00385,-0.187,0.176,0.134,0.0181,-0.15,0.156,0.112,0.0125,-0.192,0.195,0.154,0.0237,0.141,0.112,0.153,0.238,0.0,0.00375098,0.237309986713393,0.23881140232988585,0.23650773746444576,0.0008022492489472566,0.0006892169703702851,0.0030765960855926723,1.6088537531458356e-05,0.08924241515480792,0.00445098,0.00045672157900914694,5.999098742743771e-06,,time,0.0197,0.112,0.238,0.04954798179542735,0.17589285714128663,0.20818479745890406,0.7241379310326991,0.020048717948718008,0.11285780885780922,0.1776430893940133,0.20836493865687947,0.7220131571472931,0.020048717948718008,0.8649266663027505,0.9590400081994735,Single
200000.0,-0.0448,0.0199,-0.00411,-0.186,0.18,0.134,0.018,-0.149,0.159,0.112,0.0126,-0.194,0.191,0.153,0.0235,0.14,0.113,0.152,0.237,0.0,0.0039509799999999,0.255230006484341,0.2526223267901193,0.25030252740654513,0.004927479077795893,0.001903209460309532,0.003126996320472983,1.6713104229445015e-05,0.09270685935581795,0.00445098,0.0005057309449231069,6.399764311337984e-06,,time,0.0199,0.113,0.237,0.04919290700903942,0.17610619468870703,0.2075650084760838,0.7209876543192075,0.01987016317016323,0.1117529137529141,0.17779601092740238,0.20895753714778814,0.724477992133126,0.01987016317016323,0.8564589027570734,0.9598655841852078,Single
210000.0,-0.0463,0.0196,-0.0045,-0.186,0.179,0.135,0.0183,-0.155,0.154,0.11,0.0122,-0.198,0.195,0.154,0.0236,0.142,0.111,0.153,0.237,0.0,0.00415098,0.260064323384476,0.26568810286806926,0.26405553314040175,-0.003991209755925762,0.0010375970835059336,0.003223271725449112,1.7360724758662037e-05,0.0962991821519797,0.00445098,0.0005575515132235456,6.819410925844238e-06,,time,0.0196,0.111,0.237,0.05047870838284197,0.17657657657498577,0.21299033072839232,0.7266009852198851,0.019633566433566493,0.11061305361305396,0.17741134709944248,0.2087443349899134,0.7271409336931818,0.019633566433566493,0.8477231720105837,0.9577889033417304,Single
220000.0,-0.0446,0.019,-0.00378,-0.188,0.183,0.135,0.0183,-0.147,0.15,0.109,0.0118,-0.196,0.201,0.155,0.0242,0.141,0.109,0.155,0.238,0.0,0.0043509799999999,0.27369109199376,0.2774826728076585,0.27792105699375164,-0.00422996499999162,0.0006752493063129348,0.0033808388969700344,1.802315789663361e-05,0.09997366984208628,0.00445098,0.0006119239421579353,6.935804576730708e-06,,time,0.019,0.109,0.238,0.04862559408377445,0.17431192660390538,0.20430921883852998,0.7308641975290595,0.019277855477855536,0.10965034965034999,0.17578899808337162,0.20876970319715651,0.7292122243645262,0.019277855477855536,0.840345141748211,0.9490303435858594,Single
230000.0,-0.0457,0.0195,-0.00389,-0.185,0.18,0.136,0.0185,-0.142,0.15,0.108,0.0117,-0.195,0.195,0.155,0.024,0.142,0.109,0.154,0.238,0.0,0.00455098,0.291119624431202,0.29220942889724316,0.2918485624044816,-0.0007289379732796086,-0.00036872050419825954,0.004070453129920109,1.878244240936902e-05,0.10418538787883486,0.00445098,0.0006689366005378575,7.007434701085812e-06,,time,0.0195,0.109,0.238,0.0498384600484405,0.17889908256716605,0.20940529432029872,0.7308641975290595,0.01916899766899773,0.10867599067599101,0.17647996246704398,0.20906986288868634,0.7314034423143008,0.01916899766899773,0.8328777890855674,0.9527606462418376,Single
240000.0,-0.0462,0.0185,-0.00415,-0.188,0.178,0.137,0.0187,-0.147,0.152,0.107,0.0114,-0.194,0.197,0.155,0.0242,0.143,0.107,0.154,0.238,0.0,0.0047509799999999,0.310509038743623,0.306262804278956,0.30655216124924717,0.003956877494375843,-0.0004488099841804564,0.004089908109557721,1.959745201330744e-05,0.10870621056315966,0.00445098,0.0007287273017106826,7.063761049277326e-06,,time,0.0185,0.107,0.238,0.04993908789715727,0.17289719626006636,0.2098281004073422,0.7351485148496655,0.019013053613053672,0.10750116550116584,0.17694207746394203,0.20869237578262123,0.7341849898812074,0.019013053613053672,0.8238740911382652,0.9552554619530822,Single
250000.0,-0.0454,0.0182,-0.00362,-0.185,0.184,0.137,0.0187,-0.144,0.146,0.106,0.0113,-0.19,0.194,0.156,0.0242,0.143,0.106,0.155,0.238,0.0,0.00495098,0.322573837068458,0.3199980335243864,0.3215223420654715,0.0010514950029865133,-0.0013405588048429834,0.004158247655727927,2.0422574824598767e-05,0.11328313076706138,0.00445098,0.0007913023361843623,7.246660747413575e-06,,time,0.0182,0.106,0.238,0.04904594172813894,0.17169811320592737,0.20607538541148263,0.7376237623744117,0.01848321678321684,0.10620979020979053,0.17401741263715048,0.20856963422126276,0.7372009345844617,0.01848321678321684,0.8139771691882542,0.9394661025750449,Single
260000.0,-0.0464,0.0189,-0.00446,-0.186,0.184,0.137,0.0188,-0.166,0.148,0.105,0.0111,-0.195,0.201,0.155,0.0241,0.143,0.106,0.154,0.237,0.0,0.0051509799999999,0.335691599306386,0.33230294230354845,0.3369977222591388,-0.0013061229527528417,-0.002175965135657848,0.004119591153889657,2.1250331964758554e-05,0.1178746634781642,0.00445098,0.0008566662210111715,7.725487057710262e-06,0.009018082968873728,time,0.0189,0.106,0.237,0.05029971769304476,0.17830188679077075,0.2122350957503482,0.7369727047128114,0.017821445221445277,0.10525967365967398,0.16918195947531003,0.20785914186843174,0.7392586211373848,0.017821445221445277,0.8066956071181741,0.9133609889125941,Single
270000.0,-0.046,0.0181,-0.00416,-0.187,0.181,0.137,0.0189,-0.148,0.152,0.104,0.0109,-0.198,0.198,0.156,0.0245,0.144,0.104,0.156,0.238,0.0,0.00535098,0.349407152563637,0.34937534502719303,0.35290388817170076,-0.003496735608063739,-0.003344154097332055,0.0048307136973548435,2.2153961641310015e-05,0.12288705783553375,0.00445098,0.0009248893949688897,8.544831382296403e-06,0.009238760254769517,time,0.0181,0.104,0.238,0.049607616350717754,0.1740384615367881,0.20843536281726605,0.7425742574239045,0.01692400932400938,0.10404055944055976,0.16241775005249393,0.2073021834857,0.7420483235375193,0.01692400932400938,0.7973524840498426,0.8768431176998728,Single
280000.0,-0.0453,0.0159,-0.00426,-0.19,0.186,0.139,0.0192,-0.143,0.14,0.103,0.0107,-0.205,0.193,0.157,0.0245,0.145,0.103,0.156,0.238,0.0,0.0055509799999999,0.376287164439459,0.36794167263765254,0.3692975475218816,0.006989616917577379,-5.1869557486192586e-05,0.005038138213816861,2.3130352677632646e-05,0.12830305627831073,0.00445098,0.000996710093188118,8.982071335587771e-06,0.009011719051482008,time,0.0159,0.103,0.238,0.048198004108054096,0.15436893203733623,0.20251262230189743,0.7450495049486509,0.016506293706293758,0.10296037296037328,0.16016669529787916,0.20657844774957776,0.7444458672083143,0.016506293706293758,0.7890740839927397,0.8646903704261815,Single
