dataset,Time,section,strain,P_parallel,Pabs_parallel_mean,Pmag_mean,chi_parallel,P_parallel_sm,dP_parallel_de,A_P_parallel,A_P_parallel_norm,onset_P_parallel,chi_parallel_sm,dchi_parallel_de,A_chi_parallel,A_chi_parallel_norm,onset_chi_parallel,H_sec_quick,H_sec_chi_quick,P_env_min,P_env_max,chi_env_min,chi_env_max,H_sec_quick_sm,dH_sec_quick_de,A_H_sec_quick,A_H_sec_quick_norm,onset_H_sec_quick,H_sec_chi_quick_sm,dH_sec_chi_quick_de,A_H_sec_chi_quick,A_H_sec_chi_quick_norm,onset_H_sec_chi_quick
Twin,100000.0,xy,0.00195098,0.1279069,0.1279069,0.2583541,0.9999999999921818,0.13065265974025955,-5.209874569400716,0.009865017292663272,0.0691720038405305,0.00295098,0.9999999999923435,-3.081597799876695e-10,5.622727970590584e-13,6.91799955937251e-13,0.01295098,0.006089552891377419,4.7517545454280215e-14,0.1277643,0.1285442,0.999999999992173,0.9999999999922206,0.014838399347987053,-0.0365554946169589,0.0012808241499690993,0.0006301411652761191,0.01275098,1.1467979043618288e-13,3.698079722746699e-12,1.136075309734751e-14,7.718187659127258e-15,0.01295098
Twin,110000.0,xy,0.00215098,0.1310908,0.1310908,0.2580487,0.9999999999923717,0.1301148748917747,-5.218345027267137,0.010907839252330057,0.07648411313127725,0.00295098,0.9999999999923139,-3.1375595585380883e-10,6.244643706432061e-13,7.683182013338227e-13,0.01295098,0.034936004913447234,2.7233770794238494e-13,0.1265727,0.1310908,0.9999999999920993,0.9999999999923717,0.014290216550397139,-0.08735117788772341,0.0012932148172195674,0.00063623713832593,0.01275098,1.109117607768279e-13,3.761565061729803e-12,1.2106717575795161e-14,8.224975702346524e-15,0.01295098
Twin,120000.0,xy,0.00235098,0.1292408,0.1292408,0.2572589,0.9999999999922624,0.1287526969696968,-5.229184508348789,0.01195259220589165,0.08380976225810792,0.00295098,0.9999999999922304,-3.191309187028622e-10,6.877530580988733e-13,8.461862956506071e-13,0.01295098,0.008228825811983375,6.383782391637881e-14,0.128182,0.1292408,0.9999999999921986,0.9999999999922624,0.015204280072188204,-0.08249974240226067,0.0013101999092485657,0.0006445934811414003,0.01275098,1.1830027097495875e-13,4.077390025162872e-12,1.2890613084484429e-14,8.757533059184374e-15,0.01295098
Twin,130000.0,xy,0.00255098,0.1279038,0.1279038,0.2569615,0.9999999999921816,0.12718995021645002,-5.276654792826186,0.013003176136009148,0.0911762973074619,0.00295098,0.999999999992134,-3.2770974511819594e-10,7.524371244809791e-13,9.257712133400947e-13,0.01295098,0.015650016707479147,1.2179146580220804e-13,0.1273228,0.1293289,0.999999999992146,0.9999999999922677,0.012969872113689412,-0.02787159689575188,0.001321237043178367,0.0006500235414943391,0.01275098,1.0173535895462406e-13,4.725245138553591e-12,1.3770876600856076e-14,9.355560227860882e-15,0.01295098
Twin,140000.0,xy,0.00275098,0.1267614,0.1267614,0.2583638,0.9999999999921111,0.12627035584415566,-5.316155995952019,0.01406245721488697,0.09860381544377897,0.00295098,0.9999999999920755,-3.357514557012298e-10,8.187832445629218e-13,1.0074010613237853e-12,0.01295098,0.004351252953013927,3.430589146115307e-14,0.1267614,0.1273142,0.9999999999921111,0.9999999999921454,0.01223068125029159,0.1405586154490726,0.0013380800644128494,0.0006583099881761284,0.01275098,9.654518646848051e-14,6.306481233259022e-12,1.4874049238037337e-14,1.0105025810047264e-14,0.01295098
Twin,150000.0,xy,0.00295098,0.122157,0.122157,0.257997,0.9999999999918138,0.1244750194805193,-5.437990748861534,0.015137871889368326,0.10614445990354195,0.00295098,0.9999999999919638,-3.5109901259253484e-10,8.874682913922982e-13,1.09190863952896e-12,0.01295098,0.009101346839656839,7.427392034795353e-14,0.122157,0.1232747,0.9999999999918138,0.999999999991888,0.00849033048526902,0.17813997032070172,0.0013699499229898268,0.0006739893535451887,0.01275098,6.803312122463078e-14,6.849489960146181e-12,1.6189646357377857e-14,1.0998806826487812e-14,0.01295098
Twin,160000.0,xy,0.00315098,0.12375,0.12375,0.2546255,0.9999999999919191,0.12372282164502146,-5.489914690504314,0.01623066243330491,0.11380694132243356,0.00295098,0.9999999999919171,-3.605644529910933e-10,9.58634637950661e-13,1.1794691184829494e-12,0.01295098,0.013065873982435017,1.0480505352535353e-13,0.1236843,0.1253077,0.9999999999919148,0.9999999999920196,0.01254226891009163,0.5604301966152676,0.0014438069396834237,0.0007103256035793904,0.01275098,1.0111248058238816e-13,1.0210291162296293e-11,1.7895624469622103e-14,1.2157802106099952e-14,0.01295098
Twin,170000.0,xy,0.00335098,0.1236269,0.1236269,0.2587873,0.9999999999919111,0.12207437489177471,-5.463297138359531,0.017325983616191296,0.12148716719751432,0.00295098,0.9999999999918066,-3.6599227872957866e-10,1.0312903111227282e-12,1.2688620106198743e-12,0.01295098,0.017473095149349596,1.4055423491853815e-13,0.1230551,0.1252212,0.9999999999918735,0.999999999992014,0.01008319274026677,1.1413951773487632,0.0016139894770798267,0.000794052181054685,0.01275098,8.225310764447246e-14,1.5202964790669246e-11,2.0436950064918657e-14,1.3884309819045641e-14,0.01295098
Twin,180000.0,xy,0.00355098,0.1219237,0.1219237,0.2579074,0.9999999999917981,0.12203213939393923,-5.51197233372691,0.018423510563399942,0.12918285955720873,0.00295098,0.9999999999918039,-3.756250571246065e-10,1.1054520447081468e-12,1.360107904596911e-12,0.01295098,0.009730965195159551,7.949196856372968e-14,0.1219237,0.1231175,0.9999999999917981,0.9999999999918776,0.014207762205762486,1.5786589030671119,0.0018859948851214143,0.0009278736777752672,0.01275098,1.1555403099113029e-13,1.917582114180359e-11,2.3874828658165944e-14,1.6219911332837376e-14,0.01295098
Twin,190000.0,xy,0.00375098,0.1216306,0.1216306,0.2560485,0.9999999999917784,0.12196890995670978,-5.574858194186733,0.019532193616191306,0.13695677683585866,0.00295098,0.9999999999917986,-3.865755937391436e-10,1.1816721097945218e-12,1.4538862946312243e-12,0.01295098,0.015515252823370455,1.284528039500673e-13,0.1197594,0.1216306,0.9999999999916499,0.9999999999917784,0.01565601764157347,1.9793733357630583,0.0022417981090044315,0.0011029221089842302,0.01275098,1.2756847045857064e-13,2.27416113216543e-11,2.8066571904511735e-14,1.906766805432882e-14,0.01295098
Twin,200000.0,xy,0.00395098,0.1177025,0.1177025,0.2578654,0.9999999999915039,0.12053875281385265,-5.67849763872489,0.020657529199482466,0.1448474591306777,0.00295098,0.9999999999916984,-4.0153065963161403e-10,1.2604827351315974e-12,1.5508520155779721e-12,0.01295098,0.00577891682370725,4.896083538633526e-14,0.1177025,0.1183846,0.9999999999915039,0.9999999999915529,0.016368467487602796,2.044044523001828,0.0026441398948809196,0.0013008666291571217,0.01275098,1.3518623450206504e-13,2.370311801534842e-11,3.2711044838212e-14,2.222299705170008e-14,0.01295098
Twin,210000.0,xy,0.00415098,0.1240675,0.1240675,0.2606947,0.9999999999919398,0.11884105800865784,-5.7534587929386865,0.021800724842648826,0.15286337345435475,0.00295098,0.9999999999915767,-4.15263289029957e-10,1.3421621299977546e-12,1.6513473659931796e-12,0.01295098,0.03361637234643832,2.74225087084398e-13,0.119985,0.1240675,0.9999999999916656,0.9999999999919398,0.018335388910394327,1.9901805652328375,0.003047562403704387,0.0014993428445023494,0.01275098,1.5379712895354502e-13,2.33658628825729e-11,3.7417942928004147e-14,2.5420736007745643e-14,0.01295098
Twin,220000.0,xy,0.00435098,0.1166562,0.1166562,0.258204,0.9999999999914277,0.11806853203463187,-5.8229218074998474,0.022958362902692677,0.16098055581295548,0.00295098,0.9999999999915242,-4.2984208552274787e-10,1.426672667453025e-12,1.7553260510613257e-12,0.01295098,0.015005869787702159,1.2756462553038974e-13,0.1166562,0.1184176,0.9999999999914277,0.9999999999915553,0.017479431888780213,1.9331559076196716,0.003439896050989637,0.001692363550493349,0.01275098,1.4657491190109179e-13,2.3208676474360653e-11,4.207539686369749e-14,2.8584883945950104e-14,0.01295098
Twin,230000.0,xy,0.00455098,0.1143654,0.1143654,0.2557925,0.999999999991256,0.11631404458874442,-5.962210227132202,0.02413687610615588,0.16924411150856486,0.00295098,0.9999999999913946,-4.515261062237004e-10,1.5148094866276696e-12,1.8637663809872716e-12,0.01295098,0.01575042056566875,1.3888890038169091e-13,0.1125762,0.1143654,0.9999999999911171,0.999999999991256,0.016555108847056393,2.0080777506872125,0.003834019416820325,0.0018862647640308103,0.01275098,1.409199837158972e-13,2.4386663238061984e-11,4.683493083493975e-14,3.181838229287006e-14,0.01295098
Twin,240000.0,xy,0.00475098,0.1145453,0.1145453,0.2584522,0.9999999999912698,0.11521957748917733,-6.111356992466413,0.025344232828115744,0.17770991357770158,0.00295098,0.9999999999913156,-4.735802037030173e-10,1.6073201176203416e-12,1.9775880895586283e-12,0.01295098,0.0175442996591847,1.5198953207234652e-13,0.1145453,0.1165739,0.9999999999912698,0.9999999999914218,0.01695036107868226,2.1638972412405786,0.004251216916013105,0.002091518013118879,0.01275098,1.4691182373674124e-13,2.668187316764002e-11,5.1941784475509966e-14,3.52878402071364e-14,0.01295098
