TimeStep,N_all,Px_mean_all,Py_mean_all,Pz_mean_all,Px_min_all,Px_max_all,Px_std_all,Px_var_all,Py_min_all,Py_max_all,Py_std_all,Py_var_all,Pz_min_all,Pz_max_all,Pz_std_all,Pz_var_all,absPx_mean_all,absPy_mean_all,absPz_mean_all,Pmag_mean_all,N_xy,Px_mean_xy,Py_mean_xy,Pz_mean_xy,Px_min_xy,Px_max_xy,Px_std_xy,Px_var_xy,Py_min_xy,Py_max_xy,Py_std_xy,Py_var_xy,Pz_min_xy,Pz_max_xy,Pz_std_xy,Pz_var_xy,absPx_mean_xy,absPy_mean_xy,absPz_mean_xy,Pmag_mean_xy,N_xz,Px_mean_xz,Py_mean_xz,Pz_mean_xz,Px_min_xz,Px_max_xz,Px_std_xz,Px_var_xz,Py_min_xz,Py_max_xz,Py_std_xz,Py_var_xz,Pz_min_xz,Pz_max_xz,Pz_std_xz,Pz_var_xz,absPx_mean_xz,absPy_mean_xz,absPz_mean_xz,Pmag_mean_xz,N_yz,Px_mean_yz,Py_mean_yz,Pz_mean_yz,Px_min_yz,Px_max_yz,Px_std_yz,Px_var_yz,Py_min_yz,Py_max_yz,Py_std_yz,Py_var_yz,Pz_min_yz,Pz_max_yz,Pz_std_yz,Pz_var_yz,absPx_mean_yz,absPy_mean_yz,absPz_mean_yz,Pmag_mean_yz,M2y_xy,M2y_xz,M2y_yz,H_M2_sections
1880000.0,2400.0,-0.1552674,0.1286247,-0.0004023577,-0.1825243,-0.1264772,0.00800922,6.414761e-05,0.1012675,0.1606625,0.008382361,7.026397e-05,-0.1868235,0.1864012,0.1601484,0.02564752,0.1552674,0.1286247,0.1597639,0.2576341,240.0,-0.1548966,0.1301678,-0.00051705,-0.1761352,-0.1309348,0.008482392,7.195097e-05,0.1069173,0.1594782,0.008050468,6.481004e-05,-0.1798324,0.1786118,0.1608494,0.02587252,0.1548966,0.1301678,0.1602092,0.2584356,100.0,-0.1595016,0.1287857,-0.1444423,-0.1791814,-0.1436893,0.007089432,5.026004e-05,0.1102325,0.1467158,0.008361331,6.991185e-05,-0.1640823,-0.1255949,0.008067122,6.507846e-05,0.1595016,0.1287857,0.1444423,0.2510645,240.0,-0.1550559,0.1285127,-0.00175224,-0.1766587,-0.1307767,0.007528039,5.667136e-05,0.1075892,0.1540327,0.008136628,6.620471e-05,-0.1794017,0.1778463,0.1594274,0.0254171,0.1550559,0.1285127,0.1587656,0.2568054,0.01700846619684,0.01665566837449,0.016581718771290003,0.013616210372273988
1890000.0,2400.0,-0.1536492,0.1295185,0.0001639783,-0.1789205,-0.1291066,0.00829131,6.874582e-05,0.1003049,0.1557837,0.008670496,7.51775e-05,-0.1839353,0.1906911,0.161259,0.02600448,0.1536492,0.1295185,0.1608735,0.2578149,240.0,-0.1550363,0.1295479,0.0001694809,-0.1775301,-0.1291066,0.008425265,7.098509e-05,0.1009826,0.1515193,0.008304795,6.896963e-05,-0.1815675,0.1772361,0.1609527,0.02590578,0.1550363,0.1295479,0.160251,0.2582795,100.0,-0.1553902,0.1296715,-0.1464174,-0.1728768,-0.1335287,0.007660369,5.868125e-05,0.1072752,0.1501761,0.008763513,7.679916e-05,-0.1602368,-0.1332913,0.005892628,3.472306e-05,0.1553902,0.1296715,0.1464174,0.2500643,240.0,-0.1537087,0.1293774,-0.0007874011,-0.1760478,-0.1296018,0.00821345,6.746076e-05,0.1003049,0.1492919,0.008217782,6.753194e-05,-0.1815675,0.1811445,0.1622283,0.02631801,0.1537087,0.1293774,0.1615294,0.258174,0.016851628024409995,0.016891497072249996,0.01680604357076,0.0025376437676787487
1900000.0,2400.0,-0.1538897,0.1306712,0.0002054594,-0.179849,-0.1184353,0.007805419,6.092457e-05,0.1048943,0.1566776,0.008199763,6.723612e-05,-0.1847652,0.1861977,0.160005,0.0256016,0.1538897,0.1306712,0.1596028,0.2577251,240.0,-0.1549097,0.1294659,-3.939211e-05,-0.179849,-0.1184353,0.008677341,7.529624e-05,0.1090097,0.1516676,0.007957716,6.332524e-05,-0.1847652,0.1811271,0.1600065,0.02560207,0.1549097,0.1294659,0.159352,0.2575693,100.0,-0.1557914,0.1304866,-0.1429486,-0.1750315,-0.1394721,0.007070068,4.998587e-05,0.1130914,0.1520122,0.00858602,7.371973e-05,-0.1603059,-0.1232375,0.008470719,7.175308e-05,0.1557914,0.1304866,0.1429486,0.2487646,240.0,-0.1541321,0.133728,-0.0008767923,-0.1761064,-0.1281225,0.00808082,6.529965e-05,0.1140628,0.1566776,0.007316668,5.353364e-05,-0.183758,0.1765274,0.1596361,0.02548369,0.1541321,0.133728,0.1589161,0.2590053,0.016824744502809998,0.017100472509560004,0.017936711624000002,0.03349566287880967
1910000.0,2400.0,-0.1545011,0.1317434,-0.0004528594,-0.1808365,-0.1275552,0.008181057,6.692969e-05,0.09711889,0.1681963,0.008623354,7.436224e-05,-0.1819046,0.1866324,0.158051,0.02498013,0.1545011,0.1317434,0.1576669,0.2574702,240.0,-0.1537637,0.1315634,-0.0006626105,-0.1766596,-0.1362281,0.007244161,5.247786e-05,0.1097683,0.1541192,0.008407528,7.068652e-05,-0.179962,0.1825752,0.1586718,0.02517675,0.1537637,0.1315634,0.1579568,0.2570841,100.0,-0.1613788,0.1317957,-0.1398459,-0.1808365,-0.1471662,0.006496287,4.220175e-05,0.1124492,0.1483712,0.007296107,5.323318e-05,-0.155074,-0.1246033,0.00706021,4.984657e-05,0.1613788,0.1317957,0.1398459,0.2511614,240.0,-0.1549769,0.1317291,-0.00182825,-0.17843,-0.1333225,0.009240274,8.538266e-05,0.1039268,0.1573306,0.009639964,9.29289e-05,-0.1767544,0.1790812,0.1573509,0.0247593,0.1549769,0.1317291,0.156671,0.2572285,0.017379614739559998,0.017423339718489996,0.01744548468681,0.0019245909784465934
1920000.0,2400.0,-0.1527421,0.1326965,0.0002964093,-0.175905,-0.1272455,0.008002735,6.404377e-05,0.1043155,0.1585364,0.008363136,6.994205e-05,-0.1861258,0.1868318,0.1591179,0.0253185,0.1527421,0.1326965,0.158719,0.2575444,240.0,-0.1534276,0.1316808,7.508263e-05,-0.1712325,-0.1279816,0.007909319,6.255733e-05,0.1098666,0.1544271,0.008753515,7.662403e-05,-0.1791416,0.1868318,0.1593941,0.02540648,0.1534276,0.1316808,0.1586918,0.2574264,100.0,-0.1577403,0.1327713,-0.1404469,-0.1745209,-0.1300363,0.007930506,6.289292e-05,0.1062048,0.1544271,0.009018572,8.133463e-05,-0.162941,-0.1219159,0.00783421,6.137485e-05,0.1577403,0.1327713,0.1404469,0.2498006,240.0,-0.1524325,0.1323207,0.000519583,-0.1728325,-0.1272455,0.008349208,6.970927e-05,0.1103967,0.156872,0.008552832,7.315093e-05,-0.1746873,0.1868318,0.1591454,0.02532726,0.1524325,0.1323207,0.1585054,0.2570172,0.017416457118639997,0.01770955273369,0.017581918578490004,0.00836424911067013
1930000.0,2400.0,-0.1510699,0.1338387,-0.0001464552,-0.1852971,-0.1259343,0.007696943,5.924294e-05,0.1085233,0.1601861,0.008029035,6.44654e-05,-0.187072,0.1862893,0.160704,0.02582577,0.1510699,0.1338387,0.1603236,0.2581131,240.0,-0.1506971,0.1337333,-0.0003503732,-0.1757561,-0.1269882,0.007939654,6.30381e-05,0.1115709,0.1601861,0.007801541,6.086404e-05,-0.1823338,0.1817083,0.1603685,0.02571807,0.1506971,0.1337333,0.1596569,0.2574404,100.0,-0.1548598,0.1337093,-0.1445483,-0.1717042,-0.1388711,0.00759612,5.770104e-05,0.1167492,0.1601861,0.008290021,6.872445e-05,-0.1610607,-0.1257014,0.007702419,5.932726e-05,0.1548598,0.1337093,0.1445483,0.2508023,240.0,-0.1510946,0.1340881,9.152826e-05,-0.1757561,-0.1299994,0.007815865,6.108774e-05,0.1118887,0.1590213,0.008258413,6.820138e-05,-0.17872,0.1776484,0.1601238,0.02563964,0.1510946,0.1340881,0.1595049,0.2577348,0.01794545956889,0.017946901356490002,0.018047819941609998,0.0032639494771849603
1940000.0,2400.0,-0.1518019,0.135121,-0.0002133218,-0.1747231,-0.1230809,0.007917491,6.268666e-05,0.1060866,0.1630996,0.00854971,7.309754e-05,-0.1863083,0.1830217,0.1587,0.02518568,0.1518019,0.135121,0.1583225,0.2579985,240.0,-0.1517025,0.1355058,-0.0001044375,-0.1670715,-0.1246309,0.007326479,5.36773e-05,0.1167389,0.1630996,0.00930223,8.653149e-05,-0.180078,0.182569,0.1594077,0.0254108,0.1517025,0.1355058,0.1587474,0.2583997,100.0,-0.1555031,0.1354275,-0.1419121,-0.1747231,-0.1390125,0.008426721,7.100962e-05,0.1111298,0.1546223,0.009152157,8.376198e-05,-0.1571669,-0.1251346,0.007028996,4.940678e-05,0.1555031,0.1354275,0.1419121,0.2506328,240.0,-0.1520862,0.1358255,-9.83571e-05,-0.1747167,-0.1287621,0.00854428,7.300473e-05,0.1132197,0.156333,0.008561091,7.329228e-05,-0.1835633,0.175499,0.1591102,0.02531606,0.1520862,0.1358255,0.1585018,0.2586336,0.01844835332364,0.01842436973625,0.018521858730249998,0.0027510402176854024
1950000.0,2400.0,-0.1523525,0.1355323,0.0001830656,-0.1805026,-0.1224183,0.008016281,6.426076e-05,0.1095854,0.1633638,0.007914614,6.264112e-05,-0.1804419,0.1850921,0.1569402,0.02463022,0.1523525,0.1355323,0.1565389,0.2574429,240.0,-0.1528632,0.1352691,0.0001582563,-0.1805026,-0.1276509,0.008793418,7.73242e-05,0.1157912,0.1568657,0.007785235,6.060989e-05,-0.1804419,0.1739721,0.1571289,0.0246895,0.1528632,0.1352691,0.1564138,0.2575603,100.0,-0.1574512,0.1359974,-0.1381472,-0.1735749,-0.1370648,0.007566604,5.72535e-05,0.1139032,0.1543252,0.007638382,5.834488e-05,-0.1547679,-0.1192347,0.006663049,4.439623e-05,0.1574512,0.1359974,0.1381472,0.2499775,240.0,-0.1525274,0.1375349,0.001303583,-0.1735061,-0.1224183,0.008249227,6.804975e-05,0.1102711,0.1580722,0.008180101,6.691405e-05,-0.1784147,0.1850921,0.1586273,0.02516262,0.1525274,0.1375349,0.1579248,0.2594741,0.01835833930481,0.018553637686759997,0.018982762768009996,0.017144285361177212
1960000.0,2400.0,-0.1500744,0.1368083,-0.0004128732,-0.1763786,-0.1220884,0.007972171,6.355551e-05,0.1024582,0.1625857,0.008191965,6.710829e-05,-0.1863667,0.1872204,0.1582722,0.02505008,0.1500744,0.1368083,0.1578963,0.2575982,240.0,-0.1503642,0.137153,-0.0002679589,-0.1713444,-0.1220884,0.008029886,6.447907e-05,0.1024582,0.1561769,0.008854872,7.840875e-05,-0.176953,0.1817705,0.1581615,0.02501505,0.1503642,0.137153,0.1574182,0.2576889,100.0,-0.1544252,0.1370362,-0.1426178,-0.1726562,-0.1369642,0.007580702,5.746705e-05,0.1181011,0.1625857,0.008270254,6.839711e-05,-0.1621359,-0.1179194,0.008336098,6.949053e-05,0.1544252,0.1370362,0.1426178,0.2512197,240.0,-0.1500395,0.135571,0.0003471551,-0.1710103,-0.1279855,0.007939849,6.304121e-05,0.1024582,0.1606247,0.008084105,6.535276e-05,-0.1738856,0.1817705,0.1589642,0.02526962,0.1500395,0.135571,0.1582943,0.2571645,0.018889354159,0.01884731722044,0.018444848801000002,0.013104061548363693
1970000.0,2400.0,-0.1490016,0.1381212,0.0001141903,-0.1755154,-0.1156635,0.008219428,6.7559e-05,0.1094509,0.1641411,0.008230629,6.774326e-05,-0.1905966,0.191307,0.1595171,0.02544572,0.1490016,0.1381212,0.159126,0.2584582,240.0,-0.1489228,0.1395886,0.0002470771,-0.1739122,-0.1224134,0.009041267,8.174451e-05,0.1208375,0.160954,0.007610596,5.792118e-05,-0.1795991,0.1805008,0.158733,0.02519616,0.1489228,0.1395886,0.1580228,0.2585461,100.0,-0.151355,0.1386589,-0.1454271,-0.1739122,-0.1356673,0.007664361,5.874243e-05,0.1148717,0.1641411,0.009184341,8.435212e-05,-0.1659564,-0.1202071,0.009291651,8.633477e-05,0.151355,0.1386589,0.1454271,0.2519245,240.0,-0.1485597,0.1372201,-0.0005874181,-0.1727003,-0.1264109,0.008090121,6.545006e-05,0.1180823,0.1563492,0.007477778,5.591716e-05,-0.1774685,0.1846678,0.1600638,0.02562042,0.1485597,0.1372201,0.1593415,0.2578573,0.01954289842996,0.01931064266921,0.01888527300401,0.017328288630615245
1980000.0,2400.0,-0.1494715,0.1390443,-6.019257e-05,-0.1785316,-0.1213639,0.007749806,6.005949e-05,0.1112176,0.1659732,0.008018158,6.429087e-05,-0.1839368,0.1876652,0.1576269,0.02484623,0.1494715,0.1390443,0.1572388,0.2580395,240.0,-0.1495175,0.1375299,-0.0001145189,-0.1668918,-0.1298492,0.007507314,5.635977e-05,0.1187984,0.1605567,0.007564345,5.721931e-05,-0.1812425,0.1828107,0.1586091,0.02515685,0.1495175,0.1375299,0.1579546,0.2576619,100.0,-0.1522653,0.1392268,-0.1412515,-0.1704233,-0.1308269,0.007398584,5.473904e-05,0.1213398,0.1547807,0.007332541,5.376616e-05,-0.1626647,-0.118533,0.009655654,9.323165e-05,0.1522653,0.1392268,0.1412515,0.2503579,240.0,-0.149559,0.1404421,0.001010837,-0.1785316,-0.1298492,0.008147,6.637361e-05,0.1181549,0.1568638,0.007629813,5.821405e-05,-0.17984,0.1779894,0.1580005,0.02496416,0.149559,0.1404421,0.1573457,0.2588849,0.01897169270401,0.019437867998240002,0.019782197502409997,0.02097080429155191
1990000.0,2400.0,-0.149072,0.1394642,-0.000292698,-0.1770578,-0.1207043,0.008165334,6.667267e-05,0.1101726,0.1674772,0.008376294,7.016231e-05,-0.1807722,0.1825845,0.1568914,0.0246149,0.149072,0.1394642,0.1565306,0.257621,240.0,-0.1492139,0.1409976,-0.0002662071,-0.1770578,-0.1207625,0.008988938,8.0801e-05,0.1164518,0.1640742,0.008813783,7.768277e-05,-0.1762249,0.1746648,0.1566546,0.02454068,0.1492139,0.1409976,0.1559689,0.2582522,100.0,-0.1544057,0.1400967,-0.1409907,-0.1703406,-0.1368649,0.006906685,4.77023e-05,0.1197274,0.1596652,0.007858093,6.174963e-05,-0.1588648,-0.1172452,0.008103235,6.566241e-05,0.1544057,0.1400967,0.1409907,0.2519669,240.0,-0.1492879,0.1388394,-0.0009930319,-0.1681196,-0.1275465,0.007494265,5.616401e-05,0.1101726,0.164598,0.008468009,7.170717e-05,-0.1792202,0.1825845,0.1581706,0.02501793,0.1492879,0.1388394,0.1575042,0.2579812,0.01995800597576,0.019688834980889997,0.01934808616236,0.015543325233702242
