case,n_mech,n_overall,n_sections,n_merged,strain_start,strain_max,stress_start,M2y_start,corr_stress_vs_M2,onset10_M2y,onset10_S_rms,H_M2_start,H_M2_end,fit_r2_M2,fit_C_M2,fit_K_M2
single,420.0,211.0,211.0,210.0,0.00015098,0.01995098,0.030818142,0.0172201739389184,-0.9698263146256187,0.00195098,0.00695098,0.07539817127563565,0.01085315805667183,0.9975267221200643,211.7,2.2047404746357606
twin,421.0,211.0,211.0,211.0,0.0,0.0199509799999999,0.0,0.019609503821610003,-0.8603978362694258,0.00115098,0.0027509799999999,0.009948380059150922,0.012526270580824473,0.9976047991212602,192.1,2.110350975560473
