case,n_mech,n_overall,n_sections,n_merged,strain_start,strain_max,stress_start,M2y_start,corr_stress_vs_M2,onset10_M2y,onset10_S_rms,H_M2_start,H_M2_end,fit_r2_M2,fit_C_M2,fit_K_M2
single,201.0,101.0,101.0,101.0,0.0,0.0199509800000002,5.35294475412229e-14,0.0216285577210081,-0.969946481965371,0.0019509800000002,0.0053509800000002,0.04828178402055207,0.03485882409061345,0.9968044250380259,220.0,3.016311406404116
twin,201.0,101.0,101.0,101.0,0.0,0.01995098,2.2829453882877697e-13,0.02818749584001,-0.9922947450063282,0.0017509799999997,0.0023509799999998,0.008385557841032527,0.08621438953591641,0.9941174349633881,191.0,3.006373260860912
